"id","volume","pubid","name","floruit","sex","notbefore","notafter","status","placecode","region","settlement","district","lat","long"
"V3b-20001","3b","2","Ἀβαεόδωρος","424BC","1","-424","-424","","LGPN_33156","Boiotia","Tanagra","","38.3167","23.5333"
"V3b-20002","3b","1","Ἀβαεόδωρος","v BC","1","-500","-400","","LGPN_33156","Boiotia","Tanagra","","38.3167","23.5333"
"V3b-20003","3b","1","Ἀβαιόδωρος","vi-v BC","1","-600","-500","kalos","LGPN_33161","Boiotia","Thebes","","38.19","23.19"
"V3b-20004","3b","2","Ἀβαιόδωρος","m.iv BC","1","-375","-325","","LGPN_33161","Boiotia","Thebes","","38.19","23.19"
"V3b-20005","3b","3","Ἀβαιόδωρος","c.279-247BC","1","-279","-247","","LGPN_33161","Boiotia","Thebes","","38.19","23.19"
"V3b-20006","3b","4","Ἀβαιόδωρος","156BC","1","-156","-156","","LGPN_33161","Boiotia","Thebes","","38.19","23.19"
"V3b-20007","3b","1","Ἀβαιόκριτος","c.279-247BC","1","-279","-247","","LGPN_33161","Boiotia","Thebes","","38.19","23.19"
"V3b-20008","3b","1","Ἀβαντίδας","v BC","1","-500","-400","","LGPN_33161","Boiotia","Thebes","","38.19","23.19"
"V3b-20009","3b","2","Ἀβάσκαντος","169-172AD","1","169","172","","LGPN_33162","Boiotia","Thespiai","","38.291","23.146"
"V3b-20010","3b","1","Ἀβάσκαντος","169-172AD","1","169","172","","LGPN_33162","Boiotia","Thespiai","","38.291","23.146"
"V3b-20011","3b","1","῎Αβειν","imp.","2","-31","310","","LGPN_33164","Boiotia","Thisbe","","38.264","22.963"
"V3b-20012","3b","1","Ἀβηΐχα","iv-iii BC","2","-400","-300","","LGPN_33156","Boiotia","Tanagra","","38.3167","23.5333"
"V3b-20013","3b","1","Ἀβηόδωρος","c.250-245BC","1","-250","-245","","LGPN_33122","Boiotia","Akraiphia","","38.453","23.216"
"V3b-20014","3b","2","Ἀβηόδωρος","iv-iii BC","1","-400","-300","","LGPN_33156","Boiotia","Tanagra","","38.3167","23.5333"
"V3b-20015","3b","1","Ἀβλάβιος","iii-iv AD","1","300","400","","LGPN_33161","Boiotia","Thebes","","38.19","23.19"
"V3b-20016","3b","1","῾Αβρόμαχος","C300-275BC","1","-300","-275","","LGPN_33161","Boiotia","Thebes","","38.19","23.19"
"V3b-20017","3b","1","῞Αβρων","iii/ii BC","1","-225","-175","","LGPN_33148","Boiotia","Orchomenos","","38.495","22.974"
