"id","volume","pubid","name","floruit","sex","notbefore","notafter","status","placecode","region","settlement","district","lat","long"
"V3a-8001","3a","7","Ἀβάσκαντος","f.iii AD","1","201","250","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8002","3a","6","Ἀβάσκαντος","116 or 117AD","1","117","117","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8003","3a","1","Ἀβόλητος","s.i BC","1","-50","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8004","3a","4","῾Αβρίας","c.25-1BC","1","-25","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8005","3a","1","῾Αβρίας","hell.-imp.","1","-100","100","","LGPN_33460","Lakonia","Kythera","","36.2236","23.0584"
"V3a-8006","3a","3","῾Αβρίας","c.76BC","1","-76","-76","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8007","3a","2","῾Αβρίας","ii/i BC","1","-125","-75","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8008","3a","1","Ἀγαθάγγελος","s.ii AD","1","150","199","","LGPN_33465","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8009","3a","3","Ἀγαθάμερος","i BC/i AD","1","-25","25","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8010","3a","1","Ἀγαθάνωρ","hell.-imp.","1","-100","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8011","3a","1","Ἀγαθάριν","ii-i BC","2","-200","-100","","LGPN_33471","Lakonia","Teuthrone","","36.6201","22.4896"
"V3a-8012","3a","6","Ἀγαθήμερος","imp.","1","-31","310","","LGPN_33462","Lakonia","Oitylos","","36.7081","22.3884"
"V3a-8013","3a","1","Ἀγαθιάδας","s.8 BC","1","-750","-701","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8014","3a","8","Ἀγαθίας","c.130-140AD","1","130","140","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8015","3a","9","Ἀγαθίας","c.140-160AD","1","140","160","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8016","3a","10","Ἀγαθίας","c.140-160AD","1","140","160","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8017","3a","11","Ἀγαθίας","a.212AD","1","212","262","","LGPN_33972","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8018","3a","6","Ἀγαθῖνος","s.i AD","1","50","99","doctor","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8019","3a","7","Ἀγαθόκλεια","ii BC","2","-200","-100","","LGPN_33455","Lakonia","Gytheion","","36.7637","22.5624"
"V3a-8020","3a","74","Ἀγαθοκλῆς","c.105-110AD","1","105","110","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8021","3a","73","Ἀγαθοκλῆς","f.ii AD","1","101","150","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8022","3a","64","Ἀγαθοκλῆς","c.100AD","1","100","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8023","3a","71","Ἀγαθοκλῆς","c.100-125AD","1","100","125","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8024","3a","88","Ἀγαθοκλῆς","s.ii AD","1","150","199","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8025","3a","57","Ἀγαθοκλῆς","i BC/i AD","1","-25","25","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-8026","3a","85","Ἀγαθοκλῆς","c.137-140AD","1","137","140","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
